# ###########
# [default parameters]
#   dict([('NL', '15'), ('NR', '15'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.05'), ('lambdaR', '0.05'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '0.'), ('TelR', '0.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   dict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'IphL', 'IphR', 'nOscL', 'nOscR', 'nElL', 'nElR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta', 'commL', 'commR']
# ###########
# 
-3.890286e+00 1.603038e-06 1.603038e-06 3.075254e-09 3.397397e-09 5.820327e-01 1.214627e+00 1.603038e-02 1.603038e-02 1.548813e-08 1.007004e-08 -1.246039e-08 -1.309778e-08 -1.689945e-06 9.999921e-01 9.984769e-01
-3.888000e+00 1.604721e-06 1.604721e-06 2.956302e-09 3.212000e-09 5.820303e-01 1.214621e+00 1.604721e-02 1.604721e-02 1.489341e-08 9.512274e-09 -1.188305e-08 -1.252263e-08 -1.676657e-06 9.999921e-01 9.984770e-01
-3.885714e+00 1.606427e-06 1.606427e-06 2.813693e-09 3.118115e-09 5.820274e-01 1.214618e+00 1.606427e-02 1.606427e-02 1.418063e-08 9.229370e-09 -1.138410e-08 -1.202590e-08 -1.541080e-06 9.999921e-01 9.984770e-01
-3.883429e+00 1.608152e-06 1.608152e-06 2.732938e-09 2.964454e-09 5.820258e-01 1.214613e+00 1.608152e-02 1.608152e-02 1.377732e-08 8.767391e-09 -1.095033e-08 -1.159437e-08 -1.557666e-06 9.999921e-01 9.984771e-01
-3.881143e+00 1.609893e-06 1.609893e-06 2.624973e-09 2.892467e-09 5.820236e-01 1.214611e+00 1.609893e-02 1.609893e-02 1.323809e-08 8.550636e-09 -1.057121e-08 -1.121751e-08 -1.455828e-06 9.999921e-01 9.984771e-01
-3.878857e+00 1.611648e-06 1.611648e-06 2.585715e-09 2.736654e-09 5.820229e-01 1.214605e+00 1.611648e-02 1.611648e-02 1.304251e-08 8.082561e-09 -1.023824e-08 -1.088683e-08 -1.538782e-06 9.999921e-01 9.984772e-01
-3.876571e+00 1.613416e-06 1.613416e-06 2.487376e-09 2.705424e-09 5.820209e-01 1.214604e+00 1.613416e-02 1.613416e-02 1.255161e-08 7.988362e-09 -9.944545e-09 -1.059542e-08 -1.414156e-06 9.999921e-01 9.984771e-01
-3.874286e+00 1.615196e-06 1.615196e-06 2.427688e-09 2.632130e-09 5.820197e-01 1.214602e+00 1.615196e-02 1.615196e-02 1.225403e-08 7.768075e-09 -9.684454e-09 -1.033765e-08 -1.388671e-06 9.999921e-01 9.984772e-01
-3.872000e+00 1.616986e-06 1.616986e-06 2.364215e-09 2.584402e-09 5.820184e-01 1.214600e+00 1.616986e-02 1.616986e-02 1.193757e-08 7.624566e-09 -9.453306e-09 -1.010883e-08 -1.333656e-06 9.999921e-01 9.984772e-01
-3.869714e+00 1.618785e-06 1.618785e-06 2.315275e-09 2.529128e-09 5.820174e-01 1.214598e+00 1.618785e-02 1.618785e-02 1.169383e-08 7.458488e-09 -9.247221e-09 -9.905094e-09 -1.308185e-06 9.999921e-01 9.984772e-01
