# ###########
# [default parameters]
#   dict([('NL', '20'), ('NR', '25'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.05'), ('lambdaR', '0.05'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '5.'), ('TelR', '5.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   dict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'nOscL', 'nOscR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta_L', 'eta_R', 'eta_NL', 'commL', 'commR']
# ###########
# 
7.067560e-01 2.518788e-05 2.518788e-05 5.780739e-01 1.221611e+00 -9.800845e-07 4.733803e-07 2.414871e-07 2.652172e-07 -7.782192e-03 6.264657e-03 -0.025967214 9.999999e-01 9.999937e-01
7.067680e-01 2.518928e-05 2.518928e-05 5.782420e-01 1.221087e+00 -9.380508e-07 4.262317e-07 2.440539e-07 2.677651e-07 -7.448017e-03 5.640386e-03 -0.024372558 9.999999e-01 9.999937e-01
7.067800e-01 2.519065e-05 2.519065e-05 5.779486e-01 1.221845e+00 -1.011412e-06 4.944799e-07 2.466011e-07 2.703306e-07 -8.030057e-03 6.543168e-03 -0.02690091 9.999999e-01 9.999937e-01
7.067920e-01 2.519209e-05 2.519209e-05 5.779268e-01 1.221847e+00 -1.016865e-06 4.946517e-07 2.492437e-07 2.729693e-07 -8.072888e-03 6.545066e-03 -0.026999838 9.999999e-01 9.999937e-01
7.068040e-01 2.519357e-05 2.519357e-05 5.778606e-01 1.221972e+00 -1.033421e-06 5.058290e-07 2.519333e-07 2.756587e-07 -8.203848e-03 6.692568e-03 -0.027493623 9.999999e-01 9.999937e-01
7.068160e-01 2.519509e-05 2.519509e-05 5.777971e-01 1.222087e+00 -1.049276e-06 5.161914e-07 2.546798e-07 2.784045e-07 -8.329209e-03 6.829260e-03 -0.027960219 9.999999e-01 9.999937e-01
7.068280e-01 2.519665e-05 2.519665e-05 5.777430e-01 1.222175e+00 -1.062812e-06 5.241175e-07 2.574857e-07 2.812088e-07 -8.436138e-03 6.933694e-03 -0.028341801 9.999999e-01 9.999937e-01
7.068400e-01 2.519829e-05 2.519829e-05 5.779399e-01 1.221563e+00 -1.013575e-06 4.690834e-07 2.603952e-07 2.840964e-07 -8.044794e-03 6.205230e-03 -0.026477847 9.999999e-01 9.999937e-01
7.068520e-01 2.519991e-05 2.519991e-05 5.777809e-01 1.221940e+00 -1.053323e-06 5.030105e-07 2.633024e-07 2.870103e-07 -8.359736e-03 6.653600e-03 -0.027791766 9.999999e-01 9.999937e-01
7.068640e-01 2.520158e-05 2.520158e-05 5.775831e-01 1.222424e+00 -1.102795e-06 5.465428e-07 2.662675e-07 2.899850e-07 -8.751794e-03 7.228948e-03 -0.029450619 9.999999e-01 9.999937e-01
7.068760e-01 2.520334e-05 2.520334e-05 5.776868e-01 1.222068e+00 -1.076868e-06 5.144643e-07 2.693508e-07 2.930534e-07 -8.545441e-03 6.804180e-03 -0.028412883 9.999999e-01 9.999937e-01
7.068880e-01 2.520512e-05 2.520512e-05 5.775619e-01 1.222345e+00 -1.108080e-06 5.394553e-07 2.724592e-07 2.961654e-07 -8.792500e-03 7.134204e-03 -0.029414304 9.999999e-01 9.999937e-01
7.069000e-01 2.520693e-05 2.520693e-05 5.773687e-01 1.222811e+00 -1.156375e-06 5.814112e-07 2.756245e-07 2.993395e-07 -9.175058e-03 7.688510e-03 -0.031023369 9.999999e-01 9.999937e-01
7.069120e-01 2.520883e-05 2.520883e-05 5.774393e-01 1.222543e+00 -1.138737e-06 5.572173e-07 2.789085e-07 3.026109e-07 -9.034428e-03 7.368018e-03 -0.03027429 9.999999e-01 9.999937e-01
7.069240e-01 2.521077e-05 2.521077e-05 5.774205e-01 1.222521e+00 -1.143440e-06 5.552372e-07 2.822531e-07 3.059498e-07 -9.071044e-03 7.341270e-03 -0.030320568 9.999999e-01 9.999937e-01
7.069360e-01 2.521273e-05 2.521273e-05 5.771839e-01 1.223103e+00 -1.202584e-06 6.076193e-07 2.856281e-07 3.093367e-07 -9.539498e-03 8.033233e-03 -0.03230874 9.999999e-01 9.999937e-01
7.069480e-01 2.521484e-05 2.521484e-05 5.774827e-01 1.222194e+00 -1.127897e-06 5.258264e-07 2.891965e-07 3.128736e-07 -8.946292e-03 6.951283e-03 -0.029513385 9.999999e-01 9.999937e-01
7.069600e-01 2.521692e-05 2.521692e-05 5.773393e-01 1.222513e+00 -1.163731e-06 5.545589e-07 2.927458e-07 3.164268e-07 -9.229766e-03 7.330513e-03 -0.030663162 9.999999e-01 9.999937e-01
7.069720e-01 2.521903e-05 2.521903e-05 5.769968e-01 1.223385e+00 -1.249359e-06 6.329883e-07 2.963351e-07 3.200360e-07 -9.908068e-03 8.366543e-03 -0.033587982 9.999999e-01 9.999937e-01
7.069840e-01 2.522130e-05 2.522130e-05 5.772016e-01 1.222732e+00 -1.198166e-06 5.742232e-07 3.001330e-07 3.238094e-07 -9.501221e-03 7.589131e-03 -0.031623075 9.999999e-01 9.999937e-01
7.069960e-01 2.522352e-05 2.522352e-05 5.768189e-01 1.223711e+00 -1.293827e-06 6.623548e-07 3.038867e-07 3.275858e-07 -1.025889e-02 8.753137e-03 -0.034899246 9.999999e-01 9.999936e-01
7.070080e-01 2.522587e-05 2.522587e-05 5.767379e-01 1.223849e+00 -1.314078e-06 6.747815e-07 3.077996e-07 3.314970e-07 -1.041850e-02 8.916529e-03 -0.035478936 9.999999e-01 9.999936e-01
7.070200e-01 2.522828e-05 2.522828e-05 5.766709e-01 1.223946e+00 -1.330831e-06 6.835130e-07 3.118117e-07 3.355059e-07 -1.055031e-02 9.031043e-03 -0.035930097 9.999999e-01 9.999936e-01
7.070320e-01 2.523076e-05 2.523076e-05 5.765686e-01 1.224139e+00 -1.356412e-06 7.008925e-07 3.159127e-07 3.396064e-07 -1.075205e-02 9.259763e-03 -0.036692793 9.999999e-01 9.999936e-01
7.070440e-01 2.523331e-05 2.523331e-05 5.764910e-01 1.224261e+00 -1.375817e-06 7.118830e-07 3.201214e-07 3.438124e-07 -1.090477e-02 9.404012e-03 -0.037231146 9.999999e-01 9.999936e-01
7.070560e-01 2.523596e-05 2.523596e-05 5.765329e-01 1.224048e+00 -1.365330e-06 6.927215e-07 3.244650e-07 3.481434e-07 -1.082051e-02 9.149926e-03 -0.036698544 9.999999e-01 9.999937e-01
7.070680e-01 2.523865e-05 2.523865e-05 5.763667e-01 1.224412e+00 -1.406887e-06 7.254747e-07 3.288652e-07 3.525476e-07 -1.114868e-02 9.581531e-03 -0.038019591 9.999999e-01 9.999937e-01
7.070800e-01 2.524144e-05 2.524144e-05 5.763274e-01 1.224421e+00 -1.416719e-06 7.262269e-07 3.334079e-07 3.570837e-07 -1.122534e-02 9.590407e-03 -0.038204064 9.999999e-01 9.999937e-01
7.070920e-01 2.524436e-05 2.524436e-05 5.765153e-01 1.223794e+00 -1.369736e-06 6.698080e-07 3.381384e-07 3.617892e-07 -1.085181e-02 8.844324e-03 -0.036356418 9.999999e-01 9.999937e-01
7.071040e-01 2.524722e-05 2.524722e-05 5.760206e-01 1.225064e+00 -1.493416e-06 7.841512e-07 3.427919e-07 3.664724e-07 -1.183034e-02 1.035297e-02 -0.040594761 9.999999e-01 9.999936e-01
7.071160e-01 2.525026e-05 2.525026e-05 5.759247e-01 1.225222e+00 -1.517401e-06 7.983560e-07 3.476835e-07 3.713613e-07 -1.201889e-02 1.053924e-02 -0.04127049 9.999999e-01 9.999936e-01
7.071280e-01 2.525339e-05 2.525339e-05 5.758222e-01 1.225395e+00 -1.543012e-06 8.139307e-07 3.527029e-07 3.763782e-07 -1.222024e-02 1.074352e-02 -0.041999283 9.999999e-01 9.999936e-01
7.071400e-01 2.525665e-05 2.525665e-05 5.758813e-01 1.225116e+00 -1.528244e-06 7.887702e-07 3.579073e-07 3.815668e-07 -1.210172e-02 1.041007e-02 -0.04128246 9.999999e-01 9.999937e-01
7.071520e-01 2.525993e-05 2.525993e-05 5.756313e-01 1.225693e+00 -1.590748e-06 8.407713e-07 3.631541e-07 3.868225e-07 -1.259503e-02 1.109493e-02 -0.043316973 9.999999e-01 9.999936e-01
7.071640e-01 2.526335e-05 2.526335e-05 5.755317e-01 1.225849e+00 -1.615640e-06 8.547878e-07 3.685934e-07 3.922583e-07 -1.279038e-02 1.127836e-02 -0.044004141 9.999999e-01 9.999936e-01
7.071760e-01 2.526689e-05 2.526689e-05 5.754337e-01 1.225997e+00 -1.640141e-06 8.681129e-07 3.741835e-07 3.978443e-07 -1.298253e-02 1.145258e-02 -0.04467168 9.999999e-01 9.999936e-01
7.071880e-01 2.527052e-05 2.527052e-05 5.753122e-01 1.226207e+00 -1.670521e-06 8.870174e-07 3.799225e-07 4.035809e-07 -1.322110e-02 1.170029e-02 -0.04554288 9.999999e-01 9.999936e-01
7.072000e-01 2.527434e-05 2.527434e-05 5.754333e-01 1.225738e+00 -1.640245e-06 8.447936e-07 3.859078e-07 4.095438e-07 -1.297953e-02 1.114165e-02 -0.044245179 9.999999e-01 9.999937e-01
7.072120e-01 2.527821e-05 2.527821e-05 5.753132e-01 1.225937e+00 -1.670283e-06 8.626887e-07 3.919809e-07 4.156137e-07 -1.321520e-02 1.137592e-02 -0.045091701 9.999999e-01 9.999936e-01
7.072240e-01 2.528214e-05 2.528214e-05 5.749488e-01 1.226812e+00 -1.761382e-06 9.414514e-07 3.981411e-07 4.217900e-07 -1.393381e-02 1.241260e-02 -0.048108087 9.999999e-01 9.999936e-01
7.072360e-01 2.528626e-05 2.528626e-05 5.748174e-01 1.227034e+00 -1.794230e-06 9.614523e-07 4.045660e-07 4.282119e-07 -1.419135e-02 1.267424e-02 -0.049040757 9.999999e-01 9.999936e-01
7.072480e-01 2.529061e-05 2.529061e-05 5.750108e-01 1.226347e+00 -1.745863e-06 8.996282e-07 4.113093e-07 4.349254e-07 -1.380641e-02 1.185721e-02 -0.047071656 9.999999e-01 9.999936e-01
7.072600e-01 2.529512e-05 2.529512e-05 5.752142e-01 1.225628e+00 -1.695022e-06 8.348963e-07 4.182701e-07 4.418551e-07 -1.340197e-02 1.100207e-02 -0.045007227 9.999999e-01 9.999937e-01
7.072720e-01 2.529946e-05 2.529946e-05 5.744528e-01 1.227593e+00 -1.885387e-06 1.011698e-06 4.250287e-07 4.486604e-07 -1.490457e-02 1.332964e-02 -0.051530292 9.999999e-01 9.999936e-01
7.072840e-01 2.530415e-05 2.530415e-05 5.742780e-01 1.227918e+00 -1.929082e-06 1.040954e-06 4.322489e-07 4.558794e-07 -1.524716e-02 1.371256e-02 -0.052818075 9.999999e-01 9.999936e-01
7.072960e-01 2.530901e-05 2.530901e-05 5.741665e-01 1.228061e+00 -1.956943e-06 1.053879e-06 4.397202e-07 4.633439e-07 -1.546440e-02 1.388015e-02 -0.053533089 9.999999e-01 9.999936e-01
