# ###########
# [default parameters]
#   dict([('NL', '40'), ('NR', '2'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '5.'), ('lambdaL', '0.05'), ('lambdaR', '0.'), ('QL', '1e5'), ('QR', '1e5'), ('TOscL', '5.'), ('TOscR', '5.'), ('TelL', '5.'), ('TelR', '5.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   dict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'nOscL', 'nOscR', 'dotEOscL', 'dotEOscR', 'dotEelL', 'dotEelR', 'eta_L', 'eta_R', 'commL', 'commR']
# ###########
# 
2.075600e+00 5.218911e-06 5.218911e-06 5.815462e-01 2.689414e-01 -1.059209e-07 4.173913e-12 5.634796e-08 4.956876e-08 -4.059118e-03 1.599534e-07 1.000000e+00 4.621171e-01
2.077000e+00 5.212788e-06 5.212788e-06 5.815428e-01 2.689414e-01 -1.067733e-07 2.593353e-13 5.679769e-08 4.997537e-08 -4.096591e-03 9.949965e-09 1.000000e+00 4.621172e-01
2.078400e+00 5.206679e-06 5.206679e-06 5.815393e-01 2.689414e-01 -1.076407e-07 3.231330e-13 5.725307e-08 5.038729e-08 -4.134716e-03 1.241225e-08 1.000000e+00 4.621172e-01
2.079800e+00 5.200582e-06 5.200582e-06 5.815357e-01 2.689414e-01 -1.085190e-07 2.024027e-13 5.771419e-08 5.080463e-08 -4.173342e-03 7.783849e-09 1.000000e+00 4.621172e-01
2.081200e+00 5.194498e-06 5.194498e-06 5.815321e-01 2.689414e-01 -1.094087e-07 9.446103e-14 5.818115e-08 5.122746e-08 -4.212484e-03 3.636965e-09 1.000000e+00 4.621172e-01
2.082600e+00 5.188427e-06 5.188427e-06 5.815285e-01 2.689414e-01 -1.103100e-07 7.780245e-14 5.865404e-08 5.165589e-08 -4.252156e-03 2.999077e-09 1.000000e+00 4.621172e-01
2.084000e+00 5.182369e-06 5.182369e-06 5.815248e-01 2.689414e-01 -1.112238e-07 7.859467e-13 5.913299e-08 5.209002e-08 -4.292392e-03 3.033156e-08 1.000000e+00 4.621172e-01
2.085400e+00 5.176324e-06 5.176324e-06 5.815210e-01 2.689414e-01 -1.121482e-07 1.668649e-13 5.961808e-08 5.252995e-08 -4.333121e-03 6.447235e-09 1.000000e+00 4.621172e-01
2.086800e+00 5.170292e-06 5.170292e-06 5.815172e-01 2.689414e-01 -1.130853e-07 9.722480e-14 6.010944e-08 5.297578e-08 -4.374426e-03 3.760901e-09 1.000000e+00 4.621172e-01
2.088200e+00 5.164274e-06 5.164274e-06 5.815134e-01 2.689414e-01 -1.140356e-07 7.996067e-13 6.060717e-08 5.342762e-08 -4.416326e-03 3.096686e-08 1.000000e+00 4.621172e-01
2.089600e+00 5.158268e-06 5.158268e-06 5.815095e-01 2.689414e-01 -1.149970e-07 9.407679e-15 6.111138e-08 5.388557e-08 -4.458743e-03 3.647612e-10 1.000000e+00 4.621172e-01
2.091000e+00 5.152276e-06 5.152276e-06 5.815055e-01 2.689414e-01 -1.159727e-07 7.005911e-13 6.162219e-08 5.434976e-08 -4.501803e-03 2.719541e-08 1.000000e+00 4.621172e-01
2.092400e+00 5.146296e-06 5.146296e-06 5.815015e-01 2.689414e-01 -1.169602e-07 1.982770e-13 6.213972e-08 5.482029e-08 -4.545413e-03 7.705621e-09 1.000000e+00 4.621172e-01
2.093800e+00 5.140330e-06 5.140330e-06 5.814975e-01 2.689414e-01 -1.179614e-07 7.697455e-14 6.266410e-08 5.529727e-08 -4.589645e-03 2.994926e-09 1.000000e+00 4.621172e-01
2.095200e+00 5.134377e-06 5.134377e-06 5.814934e-01 2.689414e-01 -1.189763e-07 4.840807e-14 6.319543e-08 5.578083e-08 -4.634499e-03 1.885645e-09 1.000000e+00 4.621172e-01
2.096600e+00 5.128437e-06 5.128437e-06 5.814892e-01 2.689414e-01 -1.200051e-07 1.169025e-13 6.373386e-08 5.627109e-08 -4.679986e-03 4.558990e-09 1.000000e+00 4.621172e-01
2.098000e+00 5.122511e-06 5.122511e-06 5.814850e-01 2.689414e-01 -1.210491e-07 1.419976e-12 6.427951e-08 5.676817e-08 -4.726163e-03 5.544062e-08 1.000000e+00 4.621172e-01
2.099400e+00 5.116597e-06 5.116597e-06 5.814807e-01 2.689414e-01 -1.221049e-07 1.450975e-13 6.483252e-08 5.727220e-08 -4.772893e-03 5.671639e-09 1.000000e+00 4.621172e-01
2.100800e+00 5.110697e-06 5.110697e-06 5.814764e-01 2.689414e-01 -1.231765e-07 1.885912e-13 6.539301e-08 5.778330e-08 -4.820341e-03 7.380254e-09 1.000000e+00 4.621172e-01
2.102200e+00 5.104810e-06 5.104810e-06 5.814720e-01 2.689414e-01 -1.242628e-07 5.496153e-14 6.596114e-08 5.830162e-08 -4.868460e-03 2.153323e-09 1.000000e+00 4.621172e-01
2.103600e+00 5.098937e-06 5.098937e-06 5.814675e-01 2.689414e-01 -1.253644e-07 1.244181e-13 6.653703e-08 5.882729e-08 -4.917278e-03 4.880158e-09 1.000000e+00 4.621172e-01
2.105000e+00 5.093077e-06 5.093077e-06 5.814629e-01 2.689415e-01 -1.265138e-07 3.252691e-11 6.712083e-08 5.936044e-08 -4.968070e-03 1.277299e-06 1.000000e+00 4.621170e-01
2.106400e+00 5.087230e-06 5.087230e-06 5.814584e-01 2.689414e-01 -1.276140e-07 3.038562e-14 6.771272e-08 5.990124e-08 -5.017032e-03 1.194584e-09 1.000000e+00 4.621172e-01
2.107800e+00 5.081397e-06 5.081397e-06 5.814538e-01 2.689414e-01 -1.287676e-07 4.970289e-12 6.831282e-08 6.044980e-08 -5.068196e-03 1.956269e-07 1.000000e+00 4.621171e-01
2.109200e+00 5.075577e-06 5.075577e-06 5.814491e-01 2.689414e-01 -1.299278e-07 1.794842e-13 6.892130e-08 6.100630e-08 -5.119724e-03 7.072463e-09 1.000000e+00 4.621172e-01
2.110600e+00 5.069771e-06 5.069771e-06 5.814443e-01 2.689414e-01 -1.311094e-07 2.464984e-13 6.953831e-08 6.157087e-08 -5.172203e-03 9.724241e-09 1.000000e+00 4.621172e-01
2.112000e+00 5.063978e-06 5.063978e-06 5.814394e-01 2.689414e-01 -1.323082e-07 5.265430e-13 7.016402e-08 6.214369e-08 -5.225466e-03 2.079563e-08 1.000000e+00 4.621172e-01
2.113400e+00 5.058199e-06 5.058199e-06 5.814345e-01 2.689414e-01 -1.335237e-07 2.469427e-13 7.079859e-08 6.272490e-08 -5.279497e-03 9.764054e-09 1.000000e+00 4.621172e-01
2.114800e+00 5.052434e-06 5.052434e-06 5.814295e-01 2.689414e-01 -1.347576e-07 7.470342e-13 7.144221e-08 6.331467e-08 -5.334365e-03 2.957126e-08 1.000000e+00 4.621172e-01
